User_ID,Platform,Country,Age,Gender,Post_Type,Engagements,Misinformation_Spread
User_1,Facebook,China,56,Female,Video,116,1
User_2,Facebook,China,38,Male,Video,224,0
User_3,Facebook,China,41,Male,Mixed,161,1
User_4,Facebook,China,19,Female,Image,303,0
User_5,Facebook,China,38,Female,Image,31,0
User_6,Facebook,China,42,Male,Video,179,0
User_7,Facebook,China,33,Male,Image,184,1
User_8,Facebook,China,61,Female,Mixed,140,1
User_9,Facebook,China,24,Male,Video,283,1
User_10,Facebook,China,31,Female,Text,355,0
User_11,Facebook,China,37,Male,Mixed,464,1
User_12,Facebook,China,25,Male,Image,90,0
User_13,Facebook,China,57,Female,Image,399,0
User_14,Facebook,China,21,Male,Video,411,1
User_15,Facebook,China,51,Male,Mixed,279,1
User_16,Facebook,China,32,Male,Video,261,0
User_17,Facebook,China,57,Female,Text,347,1
User_18,Facebook,China,41,Male,Mixed,197,1
User_19,Facebook,China,58,Male,Text,74,0
User_20,Facebook,China,26,Female,Mixed,145,0
User_21,Facebook,China,28,Male,Mixed,172,1
User_22,Facebook,China,22,Other,Image,50,1
User_23,Facebook,China,26,Female,Image,42,0
User_24,Facebook,China,40,Female,Text,108,1
User_25,Facebook,China,39,Female,Text,236,0
User_26,Facebook,China,31,Female,Text,227,0
User_27,Facebook,China,31,Male,Text,216,0
User_28,Facebook,China,59,Male,Video,72,1
User_29,Facebook,China,49,Female,Text,416,1
User_30,Facebook,China,32,Female,Mixed,22,0
User_31,Facebook,China,39,Female,Image,54,0
User_32,Facebook,China,23,Male,Mixed,53,0
User_33,Facebook,China,28,Male,Video,357,0
User_34,Facebook,China,50,Male,Video,455,0
User_35,Facebook,China,30,Female,Video,207,1
User_36,Facebook,China,26,Male,Text,316,0
User_37,Facebook,China,41,Other,Image,169,1
User_38,Facebook,China,58,Male,Image,451,1
User_39,Facebook,China,56,Male,Text,110,0
User_40,Facebook,China,34,Male,Image,139,0
User_41,Facebook,China,40,Male,Text,394,0
User_42,Facebook,China,19,Female,Image,169,1
User_43,Facebook,China,21,Male,Mixed,132,0
User_44,Facebook,China,55,Male,Mixed,107,1
User_45,Facebook,China,28,Female,Mixed,106,0
User_46,Facebook,China,23,Female,Video,157,0
User_47,Facebook,China,53,Male,Video,156,0
User_48,Facebook,China,24,Male,Text,433,0
User_49,Facebook,China,35,Female,Video,485,1
User_50,Facebook,China,40,Female,Image,108,0
User_51,Facebook,China,33,Female,Text,69,0
User_52,Facebook,China,18,Male,Mixed,462,1
User_53,Facebook,China,26,Male,Video,313,1
User_54,Facebook,China,37,Female,Mixed,170,1
User_55,Facebook,China,28,Other,Mixed,431,1
User_56,Facebook,China,52,Male,Text,108,1
User_57,Facebook,China,35,Male,Image,203,1
User_58,Facebook,China,33,Other,Mixed,170,0
User_59,Facebook,China,31,Male,Mixed,393,1
User_60,Facebook,China,20,Female,Text,185,0
User_61,Facebook,China,39,Male,Image,167,1
User_62,Facebook,China,62,Male,Mixed,292,0
User_63,Facebook,China,38,Female,Mixed,376,0
User_64,Facebook,China,22,Male,Mixed,156,1
User_65,Facebook,China,34,Other,Image,486,0
User_66,Facebook,China,23,Male,Text,46,1
User_67,Facebook,China,63,Other,Video,197,1
User_68,Facebook,China,38,Male,Text,265,0
User_69,Facebook,China,35,Female,Video,63,1
User_70,Facebook,China,57,Male,Image,297,1
User_71,Facebook,China,40,Male,Video,499,1
User_72,Facebook,China,34,Female,Text,308,1
User_73,Facebook,China,56,Male,Video,35,1
User_74,Facebook,China,42,Female,Mixed,400,1
User_75,Facebook,China,62,Male,Mixed,409,0
User_76,Facebook,China,40,Male,Image,331,0
User_77,Facebook,China,39,Male,Image,72,1
User_78,Facebook,China,39,Female,Image,314,0
User_79,Facebook,China,23,Male,Video,453,0
User_80,Facebook,China,25,Female,Mixed,117,1
User_81,Facebook,China,21,Female,Mixed,381,0
User_82,Facebook,China,52,Female,Mixed,153,1
User_83,Facebook,China,59,Male,Text,129,0
User_84,Facebook,China,45,Female,Image,238,0
User_85,Facebook,China,40,Male,Mixed,138,0
User_86,Facebook,China,18,Male,Mixed,135,0
User_87,Facebook,China,42,Female,Text,394,1
User_88,Facebook,China,56,Female,Text,287,1
User_89,Facebook,China,20,Male,Mixed,444,1
User_90,Facebook,China,46,Male,Text,56,0
User_91,Facebook,China,63,Other,Text,213,0
User_92,Facebook,China,43,Male,Video,109,0
